44,50,9,0,0,1.1667,0.96032,1.0556,0.38968,65.111,57.333,80.333,57.667,-23.333,45.667,-22.333,80.333,0.29017,-2.1078,1
102,203,9,0,0,0.66667,0.76012,1.3333,0.89443,9.7778,7.4444,6.4444,15.444,-7,-10,17,15.444,0.59183,1.9848,1
189,62,9,0,0,0.38889,0.25092,0.44444,0.34427,7.6296,5,13.111,4.7778,-7.8889,16.444,-8.5556,13.111,0.63594,-2.067,-1
186,12,9,0,0,0.44444,0.27217,2.3333,1.9664,6.2593,3.8889,11.333,3.5556,-7.1111,15.222,-8.1111,11.333,0.6873,-2.058,-1
79,28,9,0,0,4.2778,3.7619,0.83333,0.65828,62.407,53.444,79.111,54.667,-26.889,50.111,-23.222,79.111,0.32456,-2.1445,1
58,109,9,0,0,0.88889,0.25185,2.8333,1.6778,4.2963,1.4444,8.4444,3,-8.5556,12.444,-3.8889,8.4444,0.86448,-2.2838,1
131,214,9,0,0,0.77778,0.65185,1.2778,0.24074,6.8148,5,4.7778,10.667,-5.4444,-6.1111,11.556,10.667,0.56816,2.0583,1
206,64,9,0,0,0.055556,0.13608,0.27778,0.13608,5.7037,3.6667,10.333,3.1111,-6.1111,13.889,-7.7778,10.333,0.69798,-2.0154,-1
124,29,9,0,0,1,0.71111,1.0556,0.90742,128.44,119.22,142.89,123.22,-27.667,43.333,-15.667,142.89,0.16562,-2.2711,1
226,131,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
48,192,9,0,0,1.2222,1.0074,2.8889,4.8296,9.963,8.6667,7.4444,13.778,-3.8889,-7.5556,11.444,13.778,0.47624,1.9085,1
194,72,9,0,0,1,0.4,1.1667,1.1444,93.444,79.222,117.11,84,-42.667,71,-28.333,117.11,0.32342,-2.2258,1
200,215,9,0,0,1.5556,0.95839,4.7222,2.6451,23.037,17.111,22.556,29.444,-17.778,-1.4444,19.222,29.444,0.42077,2.561,1
79,28,9,0,0,4.2778,3.7619,0.83333,0.65828,62.407,53.444,79.111,54.667,-26.889,50.111,-23.222,79.111,0.32456,-2.1445,1
52,89,9,0,0,5.2222,2.7217,0.72222,0.49065,28.926,25.222,36.889,24.667,-11.111,23.889,-12.778,36.889,0.33113,-2.0485,1
245,140,9,0,0,0.16667,0.27889,0.61111,0.74287,0.40741,0.22222,0.77778,0.22222,-0.55556,1.1111,-0.55556,0.77778,0.24074,-2.0944,-1
221,30,9,0,0,1.0556,0.85418,1.6667,1.633,8.4815,6.1111,13.111,6.2222,-7.1111,13.889,-6.7778,13.111,0.51859,-2.06,-1
80,203,9,0,0,1.3889,0.74287,1.9444,1.5263,12.407,10,9,18.222,-7.2222,-10.222,17.444,18.222,0.51444,1.9867,1
200,193,9,0,0,2.5556,2.0403,4.6111,3.5927,41.185,37.444,50,36.111,-11.222,26.444,-15.222,50,0.27988,-1.9958,1
140,125,9,0,0,0.66667,0.22222,2.6667,3.7778,3.9259,1.5556,7.7778,2.4444,-7.1111,11.556,-4.4444,7.7778,0.8532,-2.2342,1
142,182,9,0,0,2.5,1.1,2.2778,3.6185,34.519,31.556,42.222,29.778,-8.8889,23.111,-14.222,42.222,0.29321,-1.943,1
138,116,9,0,0,0.61111,0.15185,0.44444,0.20741,6.4815,7.5556,8.2222,3.6667,3.2222,5.2222,-8.4444,8.3333,0.55917,-1.1911,1
23,55,9,0,0,2.2222,3.6741,1.7778,0.78519,23.444,21.667,31.111,17.556,-5.3333,23,-17.667,31.111,0.43507,-1.7712,1
48,139,9,0,0,2.4444,1.6822,1.8333,1.0488,48.222,42.556,60.444,41.667,-17,36.667,-19.667,60.444,0.31082,-2.0442,1
137,182,9,0,0,1.8333,3.8556,3.6111,9.2185,34.926,31.444,42.889,30.444,-10.444,23.889,-13.444,42.889,0.28576,-2.0011,1
197,236,9,0,0,2.4444,6.8296,3.3333,7.6,16.074,13.111,16.667,18.444,-8.8889,1.7778,7.1111,18.556,0.29273,2.7898,1
185,188,9,0,0,1.7778,1.1287,2,1.2472,50.185,45,62.111,43.444,-15.556,35.778,-20.222,62.111,0.30043,-2.0074,1
9,80,9,0,0,2.9444,13.752,16.667,71.511,23.63,17.333,31.667,21.889,-18.889,24.111,-5.2222,31.667,0.51425,-2.4315,1
237,191,9,0,0,1,0.31111,1.5,1.0111,7.3333,5.3333,5.4444,11.222,-6,-5.6667,11.667,11.222,0.53582,2.1224,1
137,141,9,0,0,0.055556,0.13608,0.055556,0.13608,0.037037,0,0.11111,0,-0.11111,0.22222,-0.11111,0.11111,0.11111,-2.0944,-1
